Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mfi,com.ngd.mfi,MfiApplication,runner,Long Statement,The length of the statement "List<String[]> accountNoList=Arrays.asList(accountList.split("\r\n")).stream().map(s -> s.split("`")).collect(Collectors.toList());" is 131.,48
mfi,com.ngd.mfi.model,TransactionInfo,TransactionInfo,Long Parameter List,The method has 10 parameters. ,34
mfi,com.ngd.mfi.model,TransactionInfo,toString,Long Statement,The length of the statement "return "TransactionInfo{" + "beneficiaryInfo=" + beneficiaryInfo + "` merchantAggregatorId='"+ merchantId+ '\''+ "` amount='"+ amount+ '\''+ "` currency='"+ currency+ '\''+ "` requestDateTime='"+ requestDateTime+ '\''+ "` referenceNo='"+ referenceNo+ '\''+ "` channel='"+ channel+ '\''+ "` challenge='"+ challenge+ '\''+ "` txnAdditionalInfo="+ txnAdditionalInfo+ '}';" is 368.,130
mfi,com.ngd.mfi.model.m2c,BatchApproveResponse,toString,Long Statement,The length of the statement "return "BatchApproveResponse{" + "batchId='" + batchId + '\''+ "` status='"+ status+ '\''+ "` disbursementScheduledDT='"+ disbursementScheduledDT+ '\''+ "` batchCreationTime='"+ batchCreationTime+ '\''+ '}';" is 207.,41
mfi,com.ngd.mfi.model.m2c,BatchCreateRequest,toString,Long Statement,The length of the statement "return "BatchCreateRequest{" + "disbursementScheduledDT='" + disbursementScheduledDT + '\''+ "` disbursementType='"+ disbursementType+ '\''+ "` batchTitle='"+ batchTitle+ '\''+ "` additionalInfo="+ additionalInfo+ '}';" is 218.,44
mfi,com.ngd.mfi.model.m2c,BatchCreateResponse,toString,Long Statement,The length of the statement "return "BatchCreateResponse{" + "batchId='" + batchId + '\''+ "` status='"+ status+ '\''+ "` disbursementScheduledDT='"+ disbursementScheduledDT+ '\''+ "` batchCreationTime='"+ batchCreationTime+ '\''+ '}';" is 206.,41
mfi,com.ngd.mfi.model.m2c,BatchItemModel,toString,Long Statement,The length of the statement "return "BatchItemModel{" + "mobileNo='" + mobileNo + '\''+ "` trxAmount='"+ trxAmount+ '\''+ "` description='"+ description+ '\''+ "` additionalInfo="+ additionalInfo+ '}';" is 172.,54
mfi,com.ngd.mfi.model.m2c,BatchItemResponse,toString,Long Statement,The length of the statement "return "BatchItemResponse{" + "batchId='" + batchId + '\''+ "` status='"+ status+ '\''+ "` disbursementScheduledDT='"+ disbursementScheduledDT+ '\''+ "` batchCreationTime='"+ batchCreationTime+ '\''+ '}';" is 204.,41
mfi,com.ngd.mfi.model.m2c,BathStatusResponse,toString,Long Statement,The length of the statement "return "BathStatusResponse{" + "summary=" + summary + "` content="+ content+ "` count='"+ count+ '\''+ "` totalCount='"+ totalCount+ '\''+ "` page='"+ page+ '\''+ "` pageSize='"+ pageSize+ '\''+ "` totalPages='"+ totalPages+ '\''+ '}';" is 235.,70
mfi,com.ngd.mfi.model.m2c,ContentModel,toString,Long Statement,The length of the statement "return "ContentModel{" + "accNum='" + accNum + '\''+ "` accNumType='"+ accNumType+ '\''+ "` accType='"+ accType+ '\''+ "` trxAmount='"+ trxAmount+ '\''+ "` status='"+ status+ '\''+ "` failReason='"+ failReason+ '\''+ "` additionalInfo="+ additionalInfo+ '}';" is 258.,70
mfi,com.ngd.mfi.model.m2c,SummaryModel,toString,Long Statement,The length of the statement "return "SummaryModel{" + "batchId='" + batchId + '\''+ "` disbursementType='"+ disbursementType+ '\''+ "` scheduledDate='"+ scheduledDate+ '\''+ "` status='"+ status+ '\''+ "` description='"+ description+ '\''+ "` totalFee='"+ totalFee+ '\''+ "` executionStartDateTime='"+ executionStartDateTime+ '\''+ "` executionEndDateTime='"+ executionEndDateTime+ '\''+ "` failReason='"+ failReason+ '\''+ "` batchType='"+ batchType+ '\''+ "` batchStatus='"+ batchStatus+ '\''+ "` closed='"+ closed+ '\''+ "` totalCount='"+ totalCount+ '\''+ "` unprocessedCount='"+ unprocessedCount+ '\''+ "` successCount='"+ successCount+ '\''+ "` failCount='"+ failCount+ '\''+ "` unknownCount='"+ unknownCount+ '\''+ "` rejectedCount='"+ rejectedCount+ '\''+ "` refundNeeded='"+ refundNeeded+ '\''+ "` totalAmount='"+ totalAmount+ '\''+ "` approvedAmount='"+ approvedAmount+ '\''+ "` refundAmount='"+ refundAmount+ '\''+ "` rejectedAmount='"+ rejectedAmount+ '\''+ '}';" is 945.,212
mfi,com.ngd.mfi.service,MicroFinanceService,instantDisburse,Magic Number,The method contains a magic number: 20,89
mfi,com.ngd.mfi.service,MicroFinanceService,instantDisburse,Magic Number,The method contains a magic number: 300000,89
mfi,com.ngd.mfi.service,MicroFinanceService,initialize,Long Statement,The length of the statement "byte[] rawSignatureBytes=crypto.sign(this.crypto.getPrivate(this.privateKeyPath)`initializationRawData.getBytes("UTF-8"));" is 122.,104
mfi,com.ngd.mfi.service,MicroFinanceService,initialize,Long Statement,The length of the statement "String body="{\n" + "\t\"merchantAggregatorId\":\"" + this.maId + "\"`\n"+ "\t\"requestDateTime\":\""+ datetime+ "\"`\n"+ "\t\"random\":\""+ random+ "\"`\n"+ "\t\"signature\":\""+ signature+ "\"\n"+ "}";" is 203.,104
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Identifier,The length of the identifier decryptedRechargeSensitiveDataMap is 33.,173
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Statement,The length of the statement "String txnRawDataToBeEncrypted=this.objectMapper.writeValueAsString(this.generateTxnData(datetime`random`initializeResponse.get("challenge").toString()));" is 154.,173
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Statement,The length of the statement "byte[] rawEncryptedBytes=crypto.encryptWithAes(txnRawDataToBeEncrypted`decoder.decode(initializeResponse.get("key").toString())`decoder.decode(initializeResponse.get("iv").toString()));" is 185.,173
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Statement,The length of the statement "ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);" is 121.,173
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Statement,The length of the statement "byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode(initializeResponse.get("key").toString())`decoder.decode(initializeResponse.get("iv").toString()));" is 198.,173
mfi,com.ngd.mfi.service,MicroFinanceService,loanPayment,Long Statement,The length of the statement "Map<String`Object> decryptedRechargeSensitiveDataMap=(Map<String`Object>)this.objectMapper.readValue(responseSensitiveData`Object.class);" is 137.,173
